file	cluster
sonespases_905371297.txt	2
436276740.utf8.txt	3
321860164.utf8.txt	1
sonespases_914415636.txt	2
385085142.utf8.txt	4
448736715.utf8.txt	6
sonespases_839356404.txt	2
438517619.utf8.txt	6
422780468.utf8.txt	6
453636815.utf8.txt	5
432896171.utf8.txt	4
350044200.utf8.txt	6
376345848.utf8.txt	6
sonespases_918006946.txt	2
sonespases_872418970.txt	2
402549588.utf8.txt	4
430621052.utf8.txt	4
354693177.utf8.txt	3
352241186.utf8.txt	3
349740322.utf8.txt	4
411928261.utf8.txt	6
447098109.utf8.txt	4
sonespases_841964284.txt	2
433433831.utf8.txt	5
sonespases_854123034.txt	2
331813771.utf8.txt	3
sonespases_978618963.txt	2
448181382.utf8.txt	5
sonespases_866331988.txt	2
sonespases_956663700.txt	2
449993737.utf8.txt	3
444132441.utf8.txt	6
367683041.utf8.txt	3
381916304.utf8.txt	4
434968652.utf8.txt	6
sonespases_903419089.txt	2
378938608.utf8.txt	4
330482414.utf8.txt	3
408889137.utf8.txt	4
445920441.utf8.txt	6
sonespases_852960679.txt	2
393630982.utf8.txt	4
362761503.utf8.txt	4
446675480.utf8.txt	6
323819798.utf8.txt	4
391118555.utf8.txt	3
sonespases_840816229.txt	2
440659749.utf8.txt	3
454186649.utf8.txt	6
sonespases_980558910.txt	2
359576488.utf8.txt	6
426209576.utf8.txt	4
369324665.utf8.txt	7
387172667.utf8.txt	4
351691269.utf8.txt	4
442917165.utf8.txt	4
414797826.utf8.txt	4
407623125.utf8.txt	3
sonespases_932434495.txt	2
sonespases_866253646.txt	2
450211343.utf8.txt	4
450098929.utf8.txt	3
397927311.utf8.txt	3
322478846.utf8.txt	6
434995035.utf8.txt	0
sonespases_990022106.txt	2
369510777.utf8.txt	1
384664701.utf8.txt	6
373915557.utf8.txt	5
345116404.utf8.txt	7
454172489.utf8.txt	6
sonespases_948304979.txt	2
367616153.utf8.txt	4
327416588.utf8.txt	3
437518425.utf8.txt	4
345971253.utf8.txt	6
408896192.utf8.txt	0
418909111.utf8.txt	4
sonespases_933444202.txt	2
428092088.utf8.txt	5
371402640.utf8.txt	3
338092565.utf8.txt	6
366761982.utf8.txt	3
sonespases_932552462.txt	2
364354707.utf8.txt	0
341950725.utf8.txt	6
385023190.utf8.txt	4
361441436.utf8.txt	6
375116184.utf8.txt	6
425008760.utf8.txt	4
sonespases_879543016.txt	2
432838977.utf8.txt	6
sonespases_931576047.txt	2
334241166.utf8.txt	4
451652841.utf8.txt	3
sonespases_939431981.txt	2
405216936.utf8.txt	6
334457859.utf8.txt	6
344147414.utf8.txt	4
342537460.utf8.txt	5
sonespases_946138138.txt	2
334513473.utf8.txt	3
372599409.utf8.txt	6
sonespases_953836558.txt	2
333977462.utf8.txt	4
327635115.utf8.txt	6
361897400.utf8.txt	1
334488234.utf8.txt	3
432123581.utf8.txt	6
sonespases_875946247.txt	2
sonespases_898656914.txt	2
sonespases_837255479.txt	2
447846773.utf8.txt	6
452314982.utf8.txt	3
343439825.utf8.txt	6
419693222.utf8.txt	6
432317786.utf8.txt	6
sonespases_942746746.txt	2
sonespases_946167399.txt	2
367199814.utf8.txt	4
411860576.utf8.txt	4
sonespases_858408673.txt	2
sonespases_958420198.txt	2
446557000.utf8.txt	6
331530336.utf8.txt	6
325527217.utf8.txt	1
451644480.utf8.txt	5
sonespases_975241337.txt	2
319885945.utf8.txt	6
411070539.utf8.txt	4
sonespases_946988105.txt	2
385001094.utf8.txt	6
364935664.utf8.txt	3
446605424.utf8.txt	0
347997880.utf8.txt	1
345284133.utf8.txt	4
435334692.utf8.txt	6
407246349.utf8.txt	3
sonespases_847942659.txt	2
359771453.utf8.txt	4
384956909.utf8.txt	4
452550530.utf8.txt	5
364998006.utf8.txt	4
389927209.utf8.txt	4
380850341.utf8.txt	5
sonespases_881440702.txt	2
439061948.utf8.txt	4
407904492.utf8.txt	3
387190596.utf8.txt	4
sonespases_967702639.txt	2
346294774.utf8.txt	6
348370079.utf8.txt	4
432996440.utf8.txt	4
447513154.utf8.txt	3
336800877.utf8.txt	3
sonespases_929495356.txt	2
358904707.utf8.txt	6
354248511.utf8.txt	4
356688331.utf8.txt	5
365909634.utf8.txt	3
sonespases_937957980.txt	2
336741687.utf8.txt	3
418161609.utf8.txt	7
374056993.utf8.txt	6
sonespases_980403957.txt	2
sonespases_843975869.txt	2
sonespases_950866425.txt	2
384426115.utf8.txt	7
448526680.utf8.txt	6
447005466.utf8.txt	4
sonespases_968035949.txt	2
sonespases_990025761.txt	2
331303237.utf8.txt	5
350997570.utf8.txt	5
352753619.utf8.txt	3
351362611.utf8.txt	4
sonespases_912157576.txt	2
423120803.utf8.txt	3
371595011.utf8.txt	6
450597777.utf8.txt	5
329934635.utf8.txt	6
384988616.utf8.txt	3
364392595.utf8.txt	4
408306765.utf8.txt	3
377328161.utf8.txt	4
326710996.utf8.txt	4
399186986.utf8.txt	6
401640825.utf8.txt	4
446153206.utf8.txt	4
422412612.utf8.txt	3
sonespases_885551311.txt	2
345064509.utf8.txt	1
331518212.utf8.txt	4
337452492.utf8.txt	6
385969161.utf8.txt	1
sonespases_929424744.txt	2
397272523.utf8.txt	6
413759018.utf8.txt	4
379143333.utf8.txt	4
sonespases_931623354.txt	2
430038234.utf8.txt	3
371833186.utf8.txt	4
sonespases_841890956.txt	2
428089763.utf8.txt	4
371025231.utf8.txt	3
346255833.utf8.txt	1
449259265.utf8.txt	6
367445344.utf8.txt	6
377103830.utf8.txt	3
405891482.utf8.txt	4
336340640.utf8.txt	1
433570143.utf8.txt	0
sonespases_906039939.txt	2
sonespases_861331009.txt	2
